16 0
32 3
48 6
64 13
80 19
96 24
112 37
128 44
144 61
160 82
176 82
192 115
208 144
224 134
240 209
256 193
272 241
288 299
304 327
320 385
336 386
352 439
368 453
384 583
400 582
416 737
432 834
448 820
464 1002
480 1011
496 1058
512 1083
528 1187
544 1384
560 1316
576 1540
592 1630
608 1771
624 1852
640 1918
656 2046
672 2196
688 2212
704 2486
720 2702
736 2772
752 2838
768 3117
784 3357
800 3547
816 3683
832 4141
848 4095
864 4202
880 4794
896 4955
912 4962
928 5116
944 5317
960 5358
976 6030
992 6155
1008 6406
1024 6177
1040 6803
1056 7208
1072 7367
1088 8163
1104 7892
1120 8877
1136 9354
1152 9027
1168 8723
1184 9686
1200 11136
1216 11039
1232 11885
1248 11396
1264 12803
1280 12819
1296 12963
1312 13077
1328 14472
1344 14180
1360 14533
1376 14716
1392 14882
1408 15542
1424 16207
1440 17372
1456 18527
1472 18053
1488 17397
1504 19111
1520 20412
1536 21134
1552 21061
1568 21696
1584 23244
1600 24458
