16 0
32 1
48 3
64 4
80 7
96 11
112 19
128 21
144 29
160 28
176 38
192 47
208 56
224 62
240 84
256 86
272 107
288 127
304 124
320 172
336 180
352 210
368 211
384 226
400 255
416 290
432 328
448 349
464 370
480 398
496 454
512 466
528 503
544 583
560 547
576 611
592 704
608 678
624 756
640 862
656 868
672 965
688 966
704 1096
720 1078
736 1307
752 1281
768 1286
784 1364
800 1444
816 1669
832 1525
848 1793
864 1746
880 1813
896 1988
912 2199
928 2256
944 2149
960 2378
976 2314
992 2303
1008 2717
1024 2717
1040 2956
1056 3318
1072 3053
1088 3417
1104 3213
1120 3474
1136 3585
1152 3741
1168 3909
1184 4172
1200 4314
1216 4406
1232 4561
1248 4351
1264 5089
1280 4955
1296 5309
1312 5221
1328 5354
1344 5487
1360 5739
1376 6400
1392 6606
1408 6458
1424 6851
1440 6398
1456 7102
1472 7020
1488 7622
1504 7669
1520 7784
1536 8303
1552 8592
1568 8842
1584 9153
1600 8697
